time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2020-11-30T01:31:13.130Z,19.4270000457764,-155.719833374023,6.28000020980835,2.79,ml,42,186,,0.25,hv,hv72251422,2020-11-30T01:36:43.870Z,"15 km ESE of Honaunau-Napoopoo, Hawaii",earthquake,0.71,0.75,1.89,25,automatic,hv,hv
2020-11-30T01:29:46.970Z,33.4975,-116.4981667,14.16,0.62,ml,22,73,0.06583,0.18,ci,ci39480295,2020-11-30T01:33:31.320Z,"18km ESE of Anza, CA",earthquake,0.34,0.47,0.074,14,automatic,ci,ci
2020-11-30T01:28:33.060Z,38.8330002,-122.8181686,1.37,0.56,md,8,87,0.01149,0.02,nc,nc73488986,2020-11-30T01:30:09.513Z,"8km NW of The Geysers, CA",earthquake,0.42,1.05,,1,automatic,nc,nc
2020-11-30T01:22:57.120Z,35.6816667,-117.4845,9.17,0.97,ml,12,146,0.1623,0.17,ci,ci39480287,2020-11-30T01:26:35.534Z,"12km SW of Searles Valley, CA",earthquake,0.65,1.88,0.114,9,automatic,ci,ci
2020-11-30T01:20:54.810Z,35.6996667,-117.4758333,1.38,0.61,ml,8,149,0.1523,0.12,ci,ci39480279,2020-11-30T01:24:33.125Z,"10km SW of Searles Valley, CA",earthquake,0.56,0.76,0.107,8,automatic,ci,ci
2020-11-30T01:18:00.730Z,33.8346667,-116.7,15.98,1.36,ml,51,31,0.08106,0.18,ci,ci39480271,2020-11-30T01:28:58.100Z,"11km N of Idyllwild, CA",earthquake,0.2,0.51,0.109,26,automatic,ci,ci
2020-11-30T01:12:00.240Z,38.9511681,-123.3388367,3.74,1.18,md,8,106,0.03699,0.03,nc,nc73488976,2020-11-30T01:29:05.753Z,"7km SSE of Boonville, CA",earthquake,0.37,0.86,0.34,4,automatic,nc,nc
2020-11-30T01:10:36.330Z,33.6948333,-116.7156667,3.62,1.24,ml,23,64,0.01634,0.32,ci,ci39480263,2020-11-30T01:14:32.208Z,"5km S of Idyllwild, CA",earthquake,0.63,1.08,0.18,27,automatic,ci,ci
2020-11-30T01:10:32.610Z,33.6868333,-116.7283333,14.84,0.54,ml,46,41,0.02699,0.18,ci,ci39480255,2020-11-30T01:14:16.205Z,"6km S of Idyllwild, CA",earthquake,0.21,0.37,0.192,15,automatic,ci,ci
2020-11-30T00:59:52.177Z,56.7421,-157.0175,28,2.8,ml,,,,1.04,ak,ak020fe1e0nb,2020-11-30T01:04:28.936Z,"88 km SSE of Ugashik, Alaska",earthquake,,1.1,,,automatic,ak,ak
2020-11-30T00:57:33.232Z,55.9891,-160.6289,141.89,4.3,mb,,70,1.303,0.88,us,us7000cl0y,2020-11-30T01:07:31.040Z,"36 km E of Nelson Lagoon, Alaska",earthquake,7.8,9.4,0.092,33,reviewed,us,us
2020-11-30T00:50:10.296Z,64.3615,-149.6432,13.5,1.4,ml,,,,0.67,ak,ak020fe1c013,2020-11-30T00:57:07.781Z,"22 km W of Anderson, Alaska",earthquake,,0.4,,,automatic,ak,ak
2020-11-30T00:43:47.470Z,38.8370018,-122.8186646,0.34,1.48,md,26,53,0.01323,0.05,nc,nc73488956,2020-11-30T01:04:06.621Z,"8km WNW of Cobb, CA",earthquake,0.17,0.39,0.18,6,automatic,nc,nc
2020-11-30T00:37:05.666Z,-17.3302,-174.819,10,4.9,mb,,121,4.374,0.75,us,us7000cl0u,2020-11-30T00:51:39.040Z,"170 km NNW of Neiafu, Tonga",earthquake,12.9,1.9,0.15,14,reviewed,us,us
2020-11-30T00:36:43.740Z,38.8123322,-122.7405014,0.56,0.86,md,11,87,0.0292,0.02,nc,nc73488951,2020-11-30T00:53:04.560Z,"2km SW of Cobb, CA",earthquake,0.25,0.88,0.13,4,automatic,nc,nc
2020-11-30T00:35:36.750Z,17.9555,-66.9013,14,2.31,md,11,204,0.0295,0.2,pr,pr2020335000,2020-11-30T00:55:12.967Z,"1 km SSE of Guánica, Puerto Rico",earthquake,0.87,0.75,0.22,8,reviewed,pr,pr
2020-11-30T00:34:23.740Z,19.4038333892822,-155.272338867188,1.05999994277954,1.88,ml,16,37,,0.189999998,hv,hv72251342,2020-11-30T00:39:53.970Z,"5 km SW of Volcano, Hawaii",earthquake,0.23,0.379999995,0.24,11,automatic,hv,hv
